#nusr averageWaitingTime
1 0.0
2 8.796130032818102E-8
3 1.6357357585330668E-7
4 3.7276733995873325E-7
5 6.312301535493199E-7
6 7.506084648640627E-7
7 2.437302573816906E-6
8 8.017230072845864E-6
9 2.9790507949120274E-4
10 1.260459996673629E-4
11 9.066232622178322E-5
12 9.679406152725274E-5
13 7.615161274981494E-5
14 1.0623973628699745E-4
15 8.355303750275571E-5
