#nusr packetDropProb
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0018307820308355934
10 0.0018390238955596457
11 0.0011771593143480076
12 0.001811733102746059
13 0.002260524916592921
14 0.0010904349064433261
15 0.001491417625847705
