#nusr timeoutProb
1 
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0024614955851797013
10 0.001752923018916069
11 0.0038234819948400234
12 0.0045202191374501075
13 0.0037656932191587112
14 0.0036139773532001557
15 0.0033711693032533845
