#nusr collectiveThroughput
1 727.9879841642172
2 1551.3717686876178
3 2376.4478024120845
4 3197.476139633848
5 4014.4068828998625
6 4825.638000168397
7 5642.368372888445
8 6441.166956374858
9 6629.9431916147405
10 6734.705222232355
11 6803.794046610279
12 6833.694016453128
13 6850.3533249908905
14 6840.677877757163
15 6878.442507138782
