#nusr collectiveThroughput
1 734.4330873519369
2 1551.6030425548506
3 2380.544069515474
4 3196.1466491686315
5 4023.0422015526538
6 4833.778724882142
7 5652.824237338637
8 6462.01520522253
9 7233.91077286562
10 7458.443978457342
11 7358.1421650984
12 7376.813276876568
13 7225.569208687204
14 7221.285007169574
15 7470.431213918786
