#nusr packetDropProb
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 6.57045191273083E-5
10 1.0224760618690567E-5
11 1.3925267896362445E-5
12 1.2071499709414464E-5
13 1.7883362027675983E-5
14 2.4651531008478906E-5
15 4.125891102049362E-5
