#nusr averageWaitingTime
1 0.0
2 1.3023245129432825E-7
3 1.313210511364067E-7
4 2.1235120839750174E-7
5 3.1707387775369495E-7
6 9.294499441823136E-7
7 2.0116329929772433E-6
8 1.0525848742203336E-5
9 0.0011889028871446927
10 2.9223974188416274E-4
11 6.160646118049766E-4
12 1.3363273597898865E-4
13 1.4451471655083372E-4
14 6.852586598487841E-5
15 1.6623828364192064E-4
